a;x1_start;x2_start;x1_kon;x2_kon;y;L_wyw;Flaga;r
4.49340;3.07889;2.51609;3.47801;2.84501;-0.21723;218;1;4.49340
4.49340;1.31753;3.98349;1.67121;4.17106;-0.21723;161;1;4.49340
4.49340;1.23090;3.02129;1.43939;4.25662;-0.21723;163;1;4.49340
4.49340;1.12063;3.04112;1.44065;4.25619;-0.21723;148;1;4.49340
4.49340;1.81146;1.41965;3.95274;2.13693;-0.21723;162;1;4.49340
4.49340;1.33699;3.40352;1.68193;4.16674;-0.21723;162;1;4.49340
4.49340;1.36675;2.27053;1.98829;4.02956;-0.21723;163;1;4.49340
4.49340;3.45719;2.29935;3.71949;2.52113;-0.21723;157;1;4.49340
4.49340;2.60455;1.78686;4.03367;1.97993;-0.21723;160;1;4.49340
4.49340;3.61405;1.66277;4.10822;1.82022;-0.21723;170;1;4.49340
4.49340;1.51590;1.82969;2.36918;3.81807;-0.21723;226;1;4.49340
4.49340;3.72184;1.76943;4.18247;1.64244;-0.21723;173;1;4.49340
4.49340;2.89885;2.10544;3.68984;2.56432;-0.21723;384;1;4.49340
4.49340;2.83279;3.09372;3.69861;2.55165;-0.21723;333;1;4.49340
4.49340;1.94861;2.14821;2.96186;3.37906;-0.21723;171;1;4.49340
4.49340;1.48095;1.21411;4.04374;1.95928;-0.21723;338;1;4.49340
4.49340;1.13528;3.21286;1.71810;4.15196;-0.21723;170;1;4.49340
4.49340;1.52707;1.79525;2.38534;3.80799;-0.21723;176;1;4.49340
4.49340;1.30582;2.94495;1.72780;4.14794;-0.21723;229;1;4.49340
4.49340;2.15013;1.16397;4.20052;1.59570;-0.21723;237;1;4.49340
4.49340;1.25405;1.92600;2.09020;3.97765;-0.21723;234;1;4.49340
4.49340;3.47020;1.55731;4.03941;1.96821;-0.21723;154;1;4.49340
4.49340;1.67366;2.49244;2.12742;3.95787;-0.21723;232;1;4.49340
4.49340;4.09476;1.64688;4.00581;2.03571;-0.21723;370;1;4.49340
4.49340;1.38413;1.97091;2.27674;3.87390;-0.21723;157;1;4.49340
4.49340;1.26733;2.89145;1.70278;4.15827;-0.21723;234;1;4.49340
4.49340;2.99381;1.05992;4.23270;1.50828;-0.21723;245;1;4.49340
4.49340;3.31816;1.40363;4.13466;1.75934;-0.21723;248;1;4.49340
4.49340;1.93373;1.18058;4.29224;1.32942;-0.21723;231;1;4.49340
4.49340;1.77729;2.60554;2.07970;3.98315;-0.21723;325;1;4.49340
4.49340;2.67520;3.18657;3.15524;3.19923;-0.21723;212;1;4.49340
4.49340;1.37444;3.57534;1.89227;4.07553;-0.21723;213;1;4.49340
4.49340;1.08320;2.57831;1.52739;4.22584;-0.21723;182;1;4.49340
4.49340;2.31394;3.80854;2.39707;3.80062;-0.21723;163;1;4.49340
4.49340;1.76083;1.47530;3.88102;2.26458;-0.21723;235;1;4.49340
4.49340;2.09719;1.52065;3.92906;2.18017;-0.21723;231;1;4.49340
4.49340;1.38085;2.35775;1.51409;4.23062;-0.21723;247;1;4.49340
4.49340;3.13321;2.30911;3.71227;2.53174;-0.21723;317;1;4.49340
4.49340;3.20774;3.11765;3.39638;2.94199;-0.21723;212;1;4.49340
4.49340;1.71400;1.73385;2.69095;3.59853;-0.21723;227;1;4.49340
4.49340;2.95863;1.45006;4.15950;1.69978;-0.21723;242;1;4.49340
4.49340;1.97930;1.06911;4.01957;2.00840;-0.21723;315;1;4.49340
4.49340;1.57687;1.35677;4.07210;1.89963;-0.21723;238;1;4.49340
4.49340;2.03433;1.10938;3.93401;2.17123;-0.21723;240;1;4.49340
4.49340;2.09052;1.97556;3.88539;2.25707;-0.21723;164;1;4.49340
4.49340;1.57286;4.11816;1.62059;4.19098;-0.21723;165;1;4.49340
4.49340;4.05100;1.04371;4.30929;1.27306;-0.21723;225;1;4.49340
4.49340;2.69167;1.03975;4.21808;1.54869;-0.21723;167;1;4.49340
4.49340;2.71440;2.80913;2.76523;3.54177;-0.21723;153;1;4.49340
4.49340;3.33287;1.22357;3.91878;2.19859;-0.21723;248;1;4.49340
4.49340;4.14096;1.20347;4.21899;1.54621;-0.21723;219;1;4.49340
4.49340;2.09374;1.34162;4.19507;1.60998;-0.21723;169;1;4.49340
4.49340;1.95920;2.68054;2.52253;3.71854;-0.21723;236;1;4.49340
4.49340;2.68378;1.43850;3.78748;2.41777;-0.21723;240;1;4.49340
4.49340;2.02408;1.18300;4.15536;1.70987;-0.21723;167;1;4.49340
4.49340;1.19462;3.47507;1.46452;4.24804;-0.21723;164;1;4.49340
4.49340;2.68646;1.67613;4.01349;2.02054;-0.21723;173;1;4.49340
4.49340;3.32645;2.55124;3.56861;2.73051;-0.21723;148;1;4.49340
4.49340;1.60081;2.71588;2.08752;3.97906;-0.21723;164;1;4.49340
4.49340;3.61523;1.20520;4.17596;1.65890;-0.21723;204;1;4.49340
4.49340;1.75181;3.61067;2.09974;3.97262;-0.21723;205;1;4.49340
4.49340;3.49404;1.07916;4.31046;1.26909;-0.21723;158;1;4.49340
4.49340;2.26280;1.01835;4.31341;1.25902;-0.21723;314;1;4.49340
4.49340;1.31121;2.95811;1.65713;4.17667;-0.21723;155;1;4.49340
5.00000;1.12159;2.22723;1.65567;4.17726;-0.21723;150;1;4.49341
5.00000;3.27999;3.75309;3.26123;3.09114;-0.21723;148;1;4.49341
5.00000;2.66545;2.58491;3.69882;2.55136;-0.21723;155;1;4.49341
5.00000;1.97663;4.42256;2.10971;3.96735;-0.21723;233;1;4.49341
5.00000;2.07820;3.54228;2.95011;3.38933;-0.21723;157;1;4.49341
5.00000;2.31509;1.88501;3.64291;2.63057;-0.21723;370;1;4.49341
5.00000;1.64071;4.69142;2.63440;3.64015;-0.21723;153;1;4.49341
5.00000;2.34098;3.64909;2.77548;3.53376;-0.21723;157;1;4.49341
5.00000;3.55313;3.06412;3.27009;3.08176;-0.21723;157;1;4.49341
5.00000;3.22473;2.54138;3.68712;2.56824;-0.21723;290;1;4.49341
5.00000;2.55954;2.07125;3.75844;2.46269;-0.21723;155;1;4.49341
5.00000;1.55078;3.61449;1.90062;4.07165;-0.21723;153;1;4.49341
5.00000;2.30271;2.00354;3.92050;2.19554;-0.21723;162;1;4.49341
5.00000;3.15547;1.77791;3.78067;2.42843;-0.21723;164;1;4.49341
5.00000;2.56915;4.10396;3.28489;3.06598;-0.21723;159;1;4.49341
5.00000;4.40229;1.10600;4.31268;1.26156;-0.21723;149;1;4.49341
5.00000;2.07840;1.44405;3.91905;2.19813;-0.21723;161;1;4.49341
5.00000;1.07244;2.02752;1.75234;4.13764;-0.21723;216;1;4.49341
5.00000;2.12422;1.64817;4.08655;1.86838;-0.21723;290;1;4.49341
5.00000;1.32676;3.66758;1.74128;4.14230;-0.21723;238;1;4.49341
5.00000;3.29588;1.07125;4.21215;1.56476;-0.21723;139;1;4.49341
5.00000;3.51303;1.93496;3.94613;2.14914;-0.21723;236;1;4.49341
5.00000;2.67721;2.81598;3.19776;3.15675;-0.21723;156;1;4.49341
5.00000;1.12695;3.92177;1.20103;4.32993;-0.21723;155;1;4.49341
5.00000;4.19022;1.68394;4.06109;1.92309;-0.21723;223;1;4.49341
5.00000;1.87691;3.32909;2.01951;4.01402;-0.21723;150;1;4.49341
5.00000;3.12939;2.53264;3.72861;2.50763;-0.21723;150;1;4.49341
5.00000;1.36774;1.88417;1.82771;4.10490;-0.21723;160;1;4.49341
5.00000;1.29378;4.30569;1.31153;4.29775;-0.21723;148;1;4.49341
5.00000;2.58265;1.28935;4.10391;1.82994;-0.21723;232;1;4.49341
5.00000;3.94302;1.49471;3.81567;2.37306;-0.21723;146;1;4.49341
5.00000;1.92025;2.06962;2.27431;3.87534;-0.21723;165;1;4.49341
5.00000;2.16159;1.39025;4.04970;1.94697;-0.21723;171;1;4.49341
5.00000;1.11114;1.21977;2.29652;3.86222;-0.21723;165;1;4.49341
5.00000;1.07791;4.23425;1.35973;4.28274;-0.21723;203;1;4.49341
5.00000;1.61264;1.42556;3.85491;2.30876;-0.21723;231;1;4.49341
5.00000;2.40577;3.53904;2.55326;3.69751;-0.21723;311;1;4.49341
5.00000;1.87516;1.07401;4.15251;1.71679;-0.21723;174;1;4.49341
5.00000;2.78844;3.28224;3.20044;3.15403;-0.21723;292;1;4.49341
5.00000;1.72851;1.33395;4.02426;1.99901;-0.21723;157;1;4.49341
5.00000;2.96929;3.79480;4.02626;1.99498;-0.21723;156;1;4.49341
5.00000;1.88396;1.43822;3.82289;2.36141;-0.21723;165;1;4.49341
5.00000;3.82043;1.76671;3.99750;2.05201;-0.21723;153;1;4.49341
5.00000;1.66903;4.32502;1.92697;4.05925;-0.21723;153;1;4.49341
5.00000;2.51714;2.51200;3.21848;3.13562;-0.21723;157;1;4.49341
5.00000;2.10562;2.23762;2.37513;3.81438;-0.21723;153;1;4.49341
5.00000;4.32203;2.06824;3.72338;2.51539;-0.21723;148;1;4.49341
5.00000;2.74047;1.84587;3.98139;2.08309;-0.21723;155;1;4.49341
5.00000;4.42394;2.01000;3.54271;2.76404;-0.21723;162;1;4.49341
5.00000;1.05750;1.50018;1.64536;4.18133;-0.21723;156;1;4.49341
5.00000;1.40998;3.14061;1.90578;4.06924;-0.21723;304;1;4.49341
5.00000;2.99530;3.75858;3.91136;2.21178;-0.21723;156;1;4.49341
5.00000;3.07154;3.85655;3.89699;2.23700;-0.21723;155;1;4.49341
5.00000;2.80613;1.50937;4.07866;1.88554;-0.21723;165;1;4.49341
5.00000;3.50439;3.25782;3.35103;2.99355;-0.21723;214;1;4.49341
5.00000;4.55505;1.11739;4.29989;1.30449;-0.21723;147;1;4.49341
5.00000;1.98839;3.29081;2.65165;3.62760;-0.21723;160;1;4.49341
5.00000;1.23682;3.55159;1.47155;4.24562;-0.21723;151;1;4.49341
5.00000;2.08875;1.98084;4.05950;1.92645;-0.21723;229;1;4.49341
5.00000;2.13170;1.05544;4.15416;1.71280;-0.21723;158;1;4.49341
5.00000;3.42164;1.78670;4.11054;1.81499;-0.21723;144;1;4.49341
5.00000;3.47214;2.76753;3.27032;3.08151;-0.21723;219;1;4.49341
5.00000;1.33503;3.39375;1.20203;4.32965;-0.21723;156;1;4.49341
5.00000;1.14432;1.09282;4.17206;1.66872;-0.21723;167;1;4.49341
5.00000;1.89807;1.25312;4.05147;1.94328;-0.21723;167;1;4.49341
5.00000;1.32519;3.12029;1.75022;4.13853;-0.21723;155;1;4.49341
5.00000;1.35555;3.68971;1.76307;4.13308;-0.21723;151;1;4.49341
5.00000;4.15839;1.65096;4.09679;1.84582;-0.21723;277;1;4.49341
5.00000;2.27208;2.22683;3.48915;2.83135;-0.21723;168;1;4.49341
5.00000;1.60545;2.37989;1.81505;4.11051;-0.21723;146;1;4.49341
5.00000;1.74089;2.01843;2.33162;3.84113;-0.21723;161;1;4.49341
5.00000;4.65035;1.67389;3.70128;2.54779;-0.21723;162;1;4.49341
5.00000;2.31707;4.16598;3.12906;3.22486;-0.21723;161;1;4.49341
5.00000;1.82680;2.61170;2.30259;3.85860;-0.21723;153;1;4.49341
5.00000;3.61805;3.01482;2.13761;3.95238;-0.21723;163;1;4.49341
5.00000;2.88643;3.12804;3.40657;2.93019;-0.21723;149;1;4.49341
5.00000;1.32162;3.68043;1.68230;4.16661;-0.21723;221;1;4.49341
5.00000;2.24098;2.43143;2.74113;3.56047;-0.21723;162;1;4.49341
5.00000;2.62668;2.93093;3.01562;3.33118;-0.21723;139;1;4.49341
5.00000;4.10751;1.59051;4.06545;1.91386;-0.21723;214;1;4.49341
5.00000;2.28558;2.22772;3.75275;2.47135;-0.21723;160;1;4.49341
5.00000;3.28715;2.80020;3.01790;3.32912;-0.21723;163;1;4.49341
5.00000;1.50813;2.95146;1.95860;4.04409;-0.21723;149;1;4.49341
5.00000;1.24399;4.24215;1.52537;4.22658;-0.21723;132;1;4.49341
5.00000;1.35668;2.13499;2.20302;3.91630;-0.21723;157;1;4.49341
5.00000;2.69939;1.25673;4.03757;1.97199;-0.21723;161;1;4.49341
5.00000;4.53041;1.62204;4.02303;2.00149;-0.21723;158;1;4.49341
5.00000;2.58232;1.54170;4.12066;1.79189;-0.21723;161;1;4.49341
5.00000;1.66048;4.56797;2.12716;3.95802;-0.21723;222;1;4.49341
5.00000;2.12290;4.41267;2.57146;3.68487;-0.21723;227;1;4.49341
5.00000;2.58463;2.51684;3.13355;3.22050;-0.21723;236;1;4.49341
5.00000;2.80154;1.60990;3.99463;2.05759;-0.21723;166;1;4.49341
5.00000;3.21527;1.08286;4.23569;1.49989;-0.21723;139;1;4.49341
5.00000;2.02180;3.02384;2.17698;3.93084;-0.21723;148;1;4.49341
5.00000;2.94845;3.79052;4.19796;1.60247;-0.21723;169;1;4.49341
5.00000;4.24454;1.19250;4.28222;1.36135;-0.21723;214;1;4.49341
5.00000;3.34113;2.19923;3.81931;2.36720;-0.21723;219;1;4.49341
5.00000;2.13257;2.63796;2.94845;3.39078;-0.21723;163;1;4.49341
5.00000;3.03152;2.33053;3.59707;2.69292;-0.21723;153;1;4.49341
5.00000;2.13588;2.00030;3.53974;2.76785;-0.21723;284;1;4.49341
