Nr iteracji,Metoda najszybszego spadku,,,,,,Metoda gradientow sprzezonych,,,,,,Metoda Newtona,,,,,,
,0.05,,0.25,,M. zk.,,0.05,,0.25,,M. zk.,,0.05,,0.25,,M. zk.,
,x1*,x2*,x1*,x2*,x1*,x2*,x1*,x2*,x1*,x2*,x1*,x2*,x1*,x2*,x1*,x2*,x1*,x2*
164,,,,,,,,,,,,,1.07048,-0.535496,,,,
165,,,,,,,,,,,,,1.07049,-0.535485,,,,
166,,,,,,,,,,,,,1.07049,-0.535474,,,,
167,,,,,,,,,,,,,1.07049,-0.535464,,,,
168,,,,,,,,,,,,,1.07049,-0.535455,,,,
169,,,,,,,,,,,,,1.0705,-0.535445,,,,
170,,,,,,,,,,,,,1.0705,-0.535437,,,,
171,,,,,,,,,,,,,1.0705,-0.535428,,,,
172,,,,,,,,,,,,,1.0705,-0.535421,,,,
173,,,,,,,,,,,,,1.0705,-0.535413,,,,
174,,,,,,,,,,,,,1.07051,-0.535406,,,,
175,,,,,,,,,,,,,1.07051,-0.535399,,,,
176,,,,,,,,,,,,,1.07051,-0.535393,,,,
177,,,,,,,,,,,,,1.07051,-0.535387,,,,
178,,,,,,,,,,,,,1.07051,-0.535381,,,,
179,,,,,,,,,,,,,1.07051,-0.535375,,,,
180,,,,,,,,,,,,,1.07052,-0.53537,,,,
181,,,,,,,,,,,,,1.07052,-0.535365,,,,
182,,,,,,,,,,,,,1.07052,-0.535361,,,,
183,,,,,,,,,,,,,1.07052,-0.535356,,,,
184,,,,,,,,,,,,,1.07052,-0.535352,,,,
185,,,,,,,,,,,,,1.07052,-0.535348,,,,
186,,,,,,,,,,,,,1.07052,-0.535344,,,,
187,,,,,,,,,,,,,1.07052,-0.53534,,,,
188,,,,,,,,,,,,,1.07052,-0.535337,,,,
189,,,,,,,,,,,,,1.07053,-0.535334,,,,
190,,,,,,,,,,,,,1.07053,-0.53533,,,,
191,,,,,,,,,,,,,1.07053,-0.535328,,,,
192,,,,,,,,,,,,,1.07053,-0.535325,,,,
193,,,,,,,,,,,,,1.07053,-0.535322,,,,
194,,,,,,,,,,,,,1.07053,-0.535319,,,,
195,,,,,,,,,,,,,1.07053,-0.535317,,,,
196,,,,,,,,,,,,,1.07053,-0.535315,,,,
197,,,,,,,,,,,,,1.07053,-0.535313,,,,
198,,,,,,,,,,,,,1.07053,-0.535311,,,,
199,,,,,,,,,,,,,1.07053,-0.535309,,,,
200,,,,,,,,,,,,,1.07053,-0.535307,,,,
201,,,,,,,,,,,,,1.07053,-0.535305,,,,
202,,,,,,,,,,,,,1.07053,-0.535303,,,,
203,,,,,,,,,,,,,1.07053,-0.535302,,,,
204,,,,,,,,,,,,,1.07053,-0.5353,,,,
205,,,,,,,,,,,,,1.07054,-0.535299,,,,
206,,,,,,,,,,,,,1.07054,-0.535297,,,,
207,,,,,,,,,,,,,1.07054,-0.535296,,,,
208,,,,,,,,,,,,,1.07054,-0.535295,,,,
209,,,,,,,,,,,,,1.07054,-0.535294,,,,
210,,,,,,,,,,,,,1.07054,-0.535292,,,,
211,,,,,,,,,,,,,1.07054,-0.535291,,,,
212,,,,,,,,,,,,,1.07054,-0.53529,,,,
213,,,,,,,,,,,,,1.07054,-0.535289,,,,
