Dlugosc kroku,Lp.,x1(0),x2(0),Metoda najszybszego spadku,,,,,,Metoda gradientow sprzezonych,,,,,,Metoda Newtona,,,,,,
,,,,x1*,x2*,y*,f_calls,g_calls,MinGlob,x1*,x2*,y*,f_calls,g_calls,MinGlob,x1*,x2*,y*,f_calls,g_calls,H_calls,MinGlob
,77,-1.69787,0.658384,-1.74668,0.864815,0.298716,33,32,NIE,-1.74728,0.871501,0.298643,15,14,NIE,-1.74755,0.873758,0.298638,184,183,183,NIE
,78,0.70159,0.822506,-0.00430081,0.0104354,0.00010101,45,44,TAK,-0.0014899,0.00321623,9.99187e-06,18,17,TAK,1.07054,-0.535253,0.877362,219,218,218,NIE
,79,-1.1105,-0.840174,-0.00487259,0.00940405,9.00977e-05,35,34,TAK,0.00117584,-0.000675513,2.42723e-06,33,32,TAK,-1.07054,0.535253,0.877362,220,219,219,NIE
,80,-1.52918,-0.343401,-1.7467,0.865086,0.298711,51,50,NIE,-1.74724,0.871843,0.298642,20,19,NIE,-1.74755,0.873757,0.298638,216,215,215,NIE
,81,1.29227,-1.2192,1.74846,-0.883069,0.298721,33,32,NIE,1.74796,-0.876078,0.298644,15,14,NIE,1.07055,-0.535289,0.877362,207,206,206,NIE
,82,-1.87634,1.09596,-1.74846,0.883106,0.298722,33,32,NIE,-1.7479,0.87591,0.298643,16,15,NIE,-1.74756,0.873791,0.298638,190,189,189,NIE
,83,1.539,0.263678,1.74668,-0.864839,0.298715,50,49,NIE,1.74729,-0.871973,0.298642,20,19,NIE,1.74755,-0.873758,0.298638,215,214,214,NIE
,84,-1.54644,1.71847,-1.74842,0.882725,0.298715,46,45,NIE,-1.74789,0.876112,0.298644,19,18,NIE,-1.74755,0.873795,0.298638,211,210,210,NIE
,85,-0.497264,1.53482,-0.0043604,0.0105237,0.000102886,62,61,TAK,-0.00115934,0.00226617,5.19638e-06,22,21,TAK,-4.25495e-06,1.82896e-05,2.92898e-10,221,220,220,TAK
,86,0.467759,1.77435,-0.00427404,0.0103175,9.88879e-05,60,59,TAK,-0.00010051,0.00128632,1.54555e-06,23,22,TAK,3.28772e-06,1.78826e-05,4.00199e-10,226,225,225,TAK
