Dlugosc kroku,Lp.,x1(0),x2(0),Metoda najszybszego spadku,,,,,,Metoda gradientow sprzezonych,,,,,,Metoda Newtona,,,,,,
,,,,x1*,x2*,y*,f_calls,g_calls,MinGlob,x1*,x2*,y*,f_calls,g_calls,MinGlob,x1*,x2*,y*,f_calls,g_calls,H_calls,MinGlob
,78,0.70159,0.822506,-8.83035e-05,0.000147226,2.42698e-08,260,7,TAK,-1.84936e-06,0.000354684,1.25151e-07,149,4,TAK,1.74755,-0.873776,0.298638,112,3,3,NIE
,79,-1.1105,-0.840174,-2.26784e-05,0.000639929,3.96026e-07,371,10,TAK,-0.000214971,0.000380372,1.55339e-07,556,15,TAK,-1.07076,0.535368,0.877361,75,2,2,NIE
,80,-1.52918,-0.343401,-1.74755,0.873768,0.298638,149,4,NIE,-1.74749,0.873285,0.298639,186,5,NIE,-1.74755,0.873776,0.298638,186,6,5,NIE
,81,1.29227,-1.2192,1.74753,-0.873655,0.298638,38,2,NIE,1.74753,-0.873655,0.298638,38,2,NIE,1.03183,-0.515914,0.874112,75,2,2,NIE
,82,-1.87634,1.09596,-0.000291309,0.000223015,1.54491e-07,371,10,TAK,-0.000266374,0.000371303,1.80871e-07,482,13,TAK,-1.74755,0.873776,0.298638,149,5,4,NIE
,83,1.539,0.263678,1.74753,-0.873783,0.298638,112,4,NIE,1.7475,-0.873394,0.298639,186,5,NIE,1.74755,-0.873776,0.298638,186,6,5,NIE
,84,-1.54644,1.71847,-1.74783,0.875115,0.29864,704,19,NIE,-1.74756,0.87392,0.298638,223,6,NIE,-1.74755,0.873776,0.298638,186,6,5,NIE
,85,-0.497264,1.53482,-0.000140747,0.000575473,2.89793e-07,297,8,TAK,1.26451e-05,2.69655e-05,1.38792e-09,149,5,TAK,-8.02156e-11,1.10317e-10,1.61898e-20,149,5,4,TAK
,86,0.467759,1.77435,-0.000238358,0.000358846,1.56866e-07,334,9,TAK,4.83285e-06,3.67736e-06,7.80079e-11,149,4,TAK,-5.22363e-13,3.08412e-13,4.79741e-25,149,5,4,TAK
,87,-1.68696,-0.0709079,-1.74753,0.873328,0.298639,371,10,NIE,-1.74748,0.873339,0.298639,186,5,NIE,-1.74755,0.873776,0.298638,149,4,4,NIE
,88,-0.211338,1.04866,-0.000288422,0.000205197,1.49297e-07,334,9,TAK,4.55337e-05,8.01586e-05,1.42219e-08,149,5,TAK,-1.24978e-13,5.59704e-13,2.74557e-25,112,4,3,TAK
,89,-0.691516,-1.57425,0.000185534,-0.000279916,9.52648e-08,334,9,TAK,0.000234681,-0.000226861,1.08377e-07,186,6,TAK,-1.74755,0.873776,0.298638,75,3,2,NIE
,90,0.691321,0.566297,0.000110737,-0.000197049,4.15329e-08,186,5,TAK,-5.7828e-05,6.35719e-05,7.05332e-09,112,4,TAK,1.74755,-0.873776,0.298638,75,3,2,NIE
,91,1.40768,-1.20732,1.74775,-0.874933,0.29864,408,11,NIE,1.74763,-0.873834,0.298638,186,6,NIE,0.720288,-0.360144,0.648574,75,2,2,NIE
,92,-0.931998,-0.381024,-0.000166397,0.000254523,7.78062e-08,334,9,TAK,0.00019264,-0.000701081,4.30679e-07,408,11,TAK,-1.08588,0.542939,0.876846,75,2,2,NIE
,93,0.707788,1.335,-0.000112713,0.000173536,3.59633e-08,334,9,TAK,-0.000159081,0.000126314,4.64744e-08,186,6,TAK,1.80078e-08,3.8437e-09,7.32555e-16,75,3,2,TAK
,94,1.515,0.68774,1.74743,-0.873685,0.298639,260,7,NIE,1.74749,-0.87336,0.298639,186,5,NIE,1.74755,-0.873776,0.298638,186,6,5,NIE
,95,0.421671,1.22085,-0.00010833,0.000172741,3.45972e-08,334,9,TAK,0.000130465,0.00013516,6.99438e-08,149,5,TAK,-2.03199e-13,2.57353e-13,9.65165e-26,149,5,4,TAK
,96,0.939079,-1.11074,7.17244e-05,-0.000626639,3.58019e-07,408,11,TAK,-0.000670329,0.00123676,1.59921e-06,1037,28,TAK,1.08382,-0.54191,0.876975,75,2,2,NIE
,97,-0.146072,-0.569221,-6.86042e-05,-0.000275226,1.04044e-07,297,8,TAK,5.54806e-05,6.494e-05,1.39763e-08,75,3,TAK,-8.46286e-08,-3.11117e-07,1.37447e-13,75,3,2,TAK
,98,-1.13777,-1.85284,-1.21849e-05,0.000353616,1.21032e-07,371,10,TAK,-4.5736e-05,0.00029959,8.02358e-08,260,7,TAK,-1.07072,0.535347,0.877361,75,2,2,NIE
,99,1.38915,-0.0125949,1.74769,-0.874706,0.298639,223,6,NIE,1.74755,-0.873445,0.298639,149,5,NIE,0.831635,-0.415818,0.763216,75,2,2,NIE
,100,0.294704,-1.97254,7.66936e-05,-0.000567323,2.90109e-07,371,10,TAK,-5.15962e-05,-0.000258548,8.55115e-08,223,7,TAK,1.91056e-12,-1.63247e-11,2.42606e-22,112,4,3,TAK
