==========================================;;;;;;;
Metoda Hooke'a-Jeevesa;;;;;;;
==========================================;;;;;;;
;;;;;;;
--- Krok startowy s = 1.000000 ---;;;;;;;
--- Tabela 1 (dane surowe) ---;;;;;;;
x1_start;x2_start;x1_opt;x2_opt;y_opt;f_calls;flag;
0.442958;0.242646;0.774208;0.000458;0,619852; ;78;1
0.313480;0.035846;-0.000583;-0.000091;1,11E-05; ;80;1
-0.392573;-0.832245;-0.000385;-0.774432;0,619844; ;75;1
-0.350904;0.336325;0.000659;0.000388;1,86E-05; ;79;1
-0.001847;-0.249924;-0.000285;0.000076;2,77E-06; ;67;1
0.093360;0.096542;-0.000390;-0.000333;8,35E-06; ;60;1
0.732007;-0.234072;0.774194;0.000303;0,619849; ;88;1
0.155713;0.877159;-0.000537;0.774034;0,619861; ;66;1
0.139280;0.639719;0.000218;0.774094;0,619851; ;74;1
0.423482;0.755245;0.775044;0.773995;1,23969; ;79;1
0.157993;0.609869;0.000181;0.775494;0,619857; ;87;1
-0.116456;0.085893;0.000731;-0.000044;1,71E-05; ;73;1
0.385730;0.436555;0.774792;0.774055;1,23969; ;76;1
-0.613974;0.539843;-0.774911;0.774218;1,23968; ;79;1
-0.563408;0.119103;-0.774346;0.000353;0,619845; ;74;1
0.027689;-0.302885;-0.000436;0.000240;7,88E-06; ;65;1
-0.107750;0.711876;0.000062;0.774376;0,619841; ;76;1
0.789175;0.821915;0.775113;0.775040;1,23968; ;69;1
0.223357;0.376110;-0.000081;0.774547;0,619838; ;69;1
-0.773764;0.173690;-0.775327;0.000252;0,619851; ;66;1
0.121689;0.562604;-0.000186;0.775104;0,619843; ;74;1
0.795107;0.782037;0.774795;0.774224;1,23968; ;68;1
-0.272424;0.343627;-0.000549;-0.000123;1,01E-05; ;80;1
-0.367482;0.213920;-0.000294;-0.000143;3,41E-06; ;83;1
;;;;;;;
--- Tabela 2 (podsumowanie) dla s = 0.100000 ---;;;;;;;
Liczba znalezionych minimow globalnych:;23/100;;;;;;
Srednia liczba wywolan f. celu (dla globalnych):;74.478261;;;;;;
------------------------------------------;;;;;;;
;;;;;;;
--- Krok startowy s = 0.010000 ---;;;;;;;
--- Tabela 1 (dane surowe) ---;;;;;;;
x1_start;x2_start;x1_opt;x2_opt;y_opt;f_calls;flag;
-0.939863;-0.528581;-0.774863;-0.774831;1,23968; ;77;1
0.462144;0.113548;0.774644;-0.000202;0,619839; ;95;1
0.187976;-0.885121;0.000476;-0.775121;0,61985; ;71;1
-0.999535;0.577726;-0.774535;0.775226;1,23968; ;64;1
-0.335662;-0.114013;0.000588;-0.000263;1,32E-05; ;83;1
-0.109819;-0.020080;0.000181;-0.000080;1,25E-06; ;45;1
-0.848758;0.958919;-0.775008;0.775169;1,23968; ;73;1
-0.493006;0.562468;-0.774256;0.774968;1,23968; ;83;1
0.880212;-0.107936;0.775212;-0.000436;0,619851; ;60;1
-0.463352;-0.172573;-0.774602;-0.000073;0,619838; ;98;1
0.572135;0.902308;0.774635;0.774808;1,23967; ;72;1
-0.811481;0.015771;-0.775231;-0.000479;0,619853; ;56;1
-0.284900;-0.062492;0.000100;0.000008;3,18E-07; ;76;1
-0.170673;-0.237830;0.000577;-0.000330;1,41E-05; ;68;1
-0.094480;-0.688964;0.000520;-0.775214;0,619854; ;53;1
0.203552;-0.587789;-0.000198;-0.775289;0,619849; ;71;1
-0.906836;-0.349884;-0.774336;0.000116;0,619842; ;72;1
0.321283;0.442356;0.000033;0.774856;0,619838; ;80;1
-0.502656;-0.749385;-0.775156;-0.774385;1,23968; ;69;1
-0.374886;0.027076;0.000114;-0.000424;6,14E-06; ;74;1
0.446188;0.349505;0.774938;-0.000495;0,619847; ;78;1
-0.540254;-0.728199;-0.775254;-0.774449;1,23969; ;84;1
-0.197116;0.771677;0.000384;0.774177;0,619851; ;61;1
0.202888;0.349107;0.000388;0.000357;8,86E-06; ;106;1
0.311310;-0.275648;0.000060;0.000602;1,17E-05; ;85;1
0.062087;-0.540429;-0.000413;-0.774179;0,619852; ;85;1
-0.040353;-0.493686;-0.000353;-0.774936;0,619843; ;62;1
-0.639480;0.040770;-0.774480;-0.000480;0,619846; ;60;1
0.083481;-0.725782;-0.000269;-0.774532;0,619841; ;69;1
0.025447;0.662860;0.000447;0.774110;0,619855; ;77;1
0.871388;0.089101;0.775138;0.000351;0,619847; ;63;1
0.012444;-0.400266;-0.000056;-0.000266;2,35E-06; ;79;1
0.990796;-0.475984;0.774546;-0.774734;1,23968; ;93;1
0.634889;0.744086;0.774889;0.775336;1,23969; ;48;1
0.788368;-0.103389;0.774618;0.000361;0,619842; ;58;1
0.991454;0.417164;0.775204;0.774664;1,23968; ;95;1
0.020553;0.633680;0.000553;0.774930;0,619848; ;50;1
0.124226;-0.984045;0.000476;-0.775295;0,619855; ;70;1
-0.753948;-0.455101;-0.775198;-0.775101;1,23969; ;80;1
0.710731;-0.560402;0.774481;-0.774152;1,23969; ;75;1
-0.390944;0.704033;0.000306;0.775283;0,61985; ;69;1
0.694795;0.580522;0.774795;0.774272;1,23968; ;68;1
0.917241;0.558335;0.774741;0.774585;1,23967; ;77;1
0.397533;-0.314276;0.000033;-0.000526;8,85E-06; ;98;1
0.466293;-0.668267;0.775043;-0.774517;1,23968; ;91;1
0.151325;0.940993;0.000075;0.774743;0,619837; ;80;1
0.645258;0.070108;0.775258;0.000108;0,619847; ;53;1
0.270082;0.546539;0.000082;0.775289;0,619848; ;79;1
-0.845604;0.039876;-0.774354;-0.000124;0,619842; ;53;1
-0.489271;0.390952;-0.774271;-0.000298;0,619846; ;98;1
-0.623923;0.492935;-0.775173;0.774185;1,23969; ;86;1
0.063553;0.715887;-0.000197;0.774637;0,619839; ;56;1
0.344435;0.747803;-0.000565;0.775303;0,619858; ;72;1
-0.943001;0.682899;-0.774251;0.774149;1,23969; ;65;1
0.863324;0.089552;0.774574;-0.000448;0,619844; ;56;1
-0.047075;-0.066111;0.000425;0.000139;6,37E-06; ;63;1
-0.599774;0.113722;-0.774774;-0.000028;0,619837; ;79;1
0.171220;0.345071;-0.000030;0.000071;1,92E-07; ;97;1
0.493013;-0.885838;0.774263;-0.774588;1,23968; ;79;1
0.241270;-0.489311;0.000020;-0.774311;0,619842; ;90;1
-0.649387;-0.856463;-0.774387;-0.775213;1,23969; ;74;1
0.296840;0.686550;0.000590;0.775300;0,619859; ;87;1
0.164193;-0.702070;0.000443;-0.774570;0,619844; ;78;1
-0.213582;0.005587;0.000168;0.000587;1,19E-05; ;68;1
0.252323;0.265982;-0.000177;-0.000268;3,29E-06; ;86;1
-0.241059;-0.346476;0.000191;-0.000226;2,80E-06; ;90;1
0.895812;0.797747;0.774562;0.775247;1,23968; ;76;1
0.482436;-0.461271;0.774936;-0.775021;1,23968; ;84;1
-0.297978;0.976129;-0.000478;0.774879;0,619845; ;79;1
0.606997;0.601688;0.774497;0.774188;1,23968; ;69;1
-0.814154;0.649013;-0.774154;0.775263;1,23969; ;57;1
0.558564;0.265216;0.774814;0.000216;0,619839; ;82;1
-0.007586;0.261120;-0.000086;-0.000130;7,70E-07; ;70;1
-0.434990;0.532575;-0.774990;0.775075;1,23968; ;80;1
-0.316873;-0.872034;-0.000623;-0.774534;0,619851; ;90;1
0.393081;-0.955345;0.000581;-0.774095;0,61986; ;104;1
0.442958;0.242646;0.774208;0.000146;0,619846; ;87;1
0.313480;0.035846;-0.000270;-0.000404;7,51E-06; ;92;1
-0.392573;-0.832245;-0.000073;-0.774745;0,619837; ;77;1
-0.350904;0.336325;0.000346;0.000075;4,00E-06; ;76;1
-0.001847;-0.249924;-0.000597;0.000076;1,15E-05; ;75;1
0.093360;0.096542;-0.000390;0.000292;7,56E-06; ;61;1
0.732007;-0.234072;0.774507;-0.000322;0,619842; ;80;1
0.155713;0.877159;-0.000537;0.774659;0,619846; ;79;1
0.139280;0.639719;0.000530;0.774719;0,619846; ;58;1
0.423482;0.755245;0.774732;0.775245;1,23968; ;62;1
0.157993;0.609869;0.000493;0.774869;0,619846; ;64;1
-0.116456;0.085893;-0.000206;-0.000357;5,42E-06; ;72;1
0.385730;0.436555;-0.000520;0.775305;0,619857; ;90;1
-0.613974;0.539843;-0.775224;0.774843;1,23968; ;71;1
-0.563408;0.119103;-0.774658;0.000353;0,619841; ;75;1
0.027689;-0.302885;0.000189;-0.000385;5,85E-06; ;75;1
-0.107750;0.711876;-0.000250;0.774376;0,619843; ;62;1
0.789175;0.821915;0.774175;0.774415;1,23969; ;50;1
0.223357;0.376110;-0.000393;-0.000140;5,55E-06; ;100;1
-0.773764;0.173690;-0.775014;-0.000060;0,61984; ;86;1
0.121689;0.562604;0.000439;0.775104;0,619848; ;70;1
0.795107;0.782037;0.775107;0.774537;1,23968; ;46;1
-0.272424;0.343627;0.000076;-0.000123;6,65E-07; ;95;1
-0.367482;0.213920;0.000018;0.000170;9,27E-07; ;94;1
;;;;;;;
--- Tabela 2 (podsumowanie) dla s = 0.010000 ---;;;;;;;
Liczba znalezionych minimow globalnych:;24/100;;;;;;
Srednia liczba wywolan f. celu (dla globalnych):;80.333333;;;;;;
------------------------------------------;;;;;;;
;;;;;;;
;;;;;;;
==========================================;;;;;;;
Metoda Rosenbrocka;;;;;;;
==========================================;;;;;;;
;;;;;;;
--- Krok startowy s = 0.500000 ---;;;;;;;
--- Tabela 1 (dane surowe) ---;;;;;;;
x1_start;x2_start;x1_opt;x2_opt;y_opt;f_calls;flag;
-0.939863;-0.528581;-0.773880;0.000311;0,619862; ;65;1
0.462144;0.113548;0.775250;0.000645;0,619859; ;105;1
0.187976;-0.885121;0.774859;-0.774908;1,23968; ;77;1
-0.999535;0.577726;0.774308;0.775470;1,2397; ;95;1
-0.335662;-0.114013;-0.000007;0.000387;4,78E-06; ;89;1
-0.109819;-0.020080;0.000166;0.000948;2,95E-05; ;65;1
-0.848758;0.958919;-0.774891;0.774684;1,23968; ;73;1
-0.493006;0.562468;0.000344;0.774319;0,619846; ;83;1
0.880212;-0.107936;0.775557;0.000114;0,61986; ;65;1
-0.463352;-0.172573;0.000424;-0.000216;7,23E-06; ;75;1
0.572135;0.902308;-0.774571;-0.000000;0,619838; ;83;1
-0.811481;0.015771;-0.774426;-0.000098;0,61984; ;53;1
-0.284900;-0.062492;0.000151;-0.000743;1,83E-05; ;95;1
-0.170673;-0.237830;0.000424;-0.000332;9,22E-06; ;71;1
-0.094480;-0.688964;0.000200;-0.774487;0,61984; ;83;1
0.203552;-0.587789;0.774208;0.000135;0,619846; ;73;1
